#          z   avg(WSh)   min(WSh)   max(WSh)   avg(WDh)   min(WDh)   max(WDh)        TIh
224.832215   6.859645   6.368829   7.223421 183.541564 180.472032 187.032657   0.031398
228.187919   6.868428   6.337100   7.228572 183.753219 180.544550 187.123978   0.032028
231.543624   6.877986   6.370246   7.227399 183.949139 180.577046 187.049368   0.032534
234.899329   6.888702   6.447833   7.236424 184.124016 180.789533 187.402757   0.032571
238.255034   6.900695   6.451052   7.276354 184.285389 181.046137 187.647000   0.032559
241.610738   6.915236   6.443223   7.282895 184.429499 181.388246 187.566089   0.031509
244.966443   6.931330   6.477213   7.279577 184.570774 181.547188 187.424915   0.030090
248.322148   6.947198   6.526228   7.274081 184.712907 181.589968 187.274439   0.029184
251.677852   6.960528   6.543997   7.283738 184.861437 181.373630 187.487025   0.028906
255.033557   6.970540   6.513162   7.310366 185.009737 181.035817 187.920750   0.028834
258.389262   6.979297   6.488245   7.314673 185.156627 180.686375 188.221670   0.028890
261.744966   6.987411   6.482737   7.283129 185.299548 180.502820 188.336114   0.028199
265.100671   6.994939   6.503947   7.282637 185.440304 180.717038 188.396737   0.026953
268.456376   7.001909   6.533223   7.279116 185.579260 181.065859 188.451441   0.026146
271.812081   7.007796   6.584376   7.268957 185.715552 181.357444 188.524066   0.025707
275.167785   7.015375   6.644716   7.300336 185.846297 181.890895 188.666963   0.025156
278.523490   7.023333   6.709092   7.330895 185.972374 182.346351 188.822988   0.025064
281.879195   7.030987   6.766792   7.335429 186.091495 182.967326 188.983902   0.024710
285.234899   7.036809   6.795966   7.292058 186.216014 183.159153 189.150756   0.023851
288.590604   7.043010   6.822303   7.302282 186.342139 183.084678 189.309544   0.023286
291.946309   7.050827   6.806103   7.313282 186.468828 183.081556 189.449584   0.023027
295.302013   7.059349   6.783495   7.353288 186.586315 183.188632 189.528686   0.022818
298.657718   7.067999   6.758143   7.372594 186.700963 183.256702 189.578963   0.023050
302.013423   7.076581   6.733263   7.381294 186.813578 183.385042 189.641088   0.023426
305.369128   7.082145   6.723769   7.345495 186.912583 183.609029 189.639727   0.023377
308.724832   7.086838   6.707001   7.364244 187.009499 183.866807 189.799174   0.023336
312.080537   7.090890   6.694685   7.364295 187.106907 184.180290 189.905678   0.023220
315.436242   7.099608   6.747596   7.371093 187.216428 184.480524 189.866631   0.022848
318.791946   7.109830   6.830122   7.384895 187.327118 184.474648 190.197133   0.022733
322.147651   7.121315   6.911839   7.392442 187.436968 184.464938 190.799057   0.022669
325.503356   7.128377   6.919010   7.414779 187.566658 184.500258 191.041733   0.022089
328.859060   7.132880   6.923735   7.437748 187.703687 184.536680 191.176958   0.021774
332.214765   7.134358   6.920097   7.458798 187.848312 184.562743 191.182010   0.021675
335.570470   7.135446   6.898909   7.459169 187.970353 184.596558 191.186057   0.021465
338.926174   7.137244   6.903212   7.454998 188.081681 184.638100 191.177631   0.021547
342.281879   7.140007   6.879450   7.445222 188.181452 184.669325 191.157695   0.021710
345.637584   7.143334   6.862882   7.426441 188.289392 184.750668 191.119778   0.021373
348.993289   7.146847   6.846004   7.409949 188.401912 184.829617 191.099776   0.021235
352.348993   7.150544   6.827087   7.412777 188.519331 184.856431 191.092905   0.021363
355.704698   7.156128   6.834455   7.431573 188.625517 185.048013 191.114522   0.021123
359.060403   7.162794   6.840175   7.439059 188.730039 185.193449 191.142725   0.021126
362.416107   7.170602   6.867139   7.435550 188.833276 185.314444 191.164250   0.021305
365.771812   7.177700   6.910281   7.400449 188.942950 185.551805 191.145115   0.020704
369.127517   7.183568   6.915811   7.371576 189.054729 185.645465 191.136083   0.020347
372.483221   7.188143   6.901509   7.411560 189.168645 185.557254 191.329728   0.020269
375.838926   7.190551   6.912779   7.451979 189.272294 185.570189 191.333267   0.020083
379.194631   7.192575   6.928770   7.478291 189.373688 185.659716 191.394027   0.020067
382.550336   7.194199   6.950027   7.488106 189.473050 185.811672 191.434393   0.020089
385.906040   7.194106   6.967095   7.465912 189.579782 186.145506 191.427767   0.019476
389.261745   7.194466   6.974617   7.447009 189.690036 186.500578 191.450474   0.018903
392.617450   7.195251   6.964612   7.419426 189.803547 186.824475 191.515149   0.018391
395.973154   7.196246   6.941594   7.420377 189.920090 187.406511 191.558846   0.017424
399.328859   7.197302   6.928414   7.390811 190.025686 188.081745 191.587392   0.016780
402.684564   7.198509   6.919531   7.378510 190.122155 188.055023 191.648679   0.016504
406.040268   7.201476   6.943332   7.368301 190.217018 188.015627 191.708932   0.016143
409.395973   7.205792   6.981276   7.380052 190.319914 187.983445 191.769409   0.015842
412.751678   7.211275   7.033540   7.387587 190.430028 187.916169 191.809158   0.015630
416.107383   7.218200   7.051526   7.381758 190.554803 188.013346 191.819442   0.014601
419.463087   7.224324   7.054493   7.371775 190.675745 188.143496 191.827599   0.013806
422.818792   7.229660   7.038545   7.395372 190.793239 188.330159 191.879355   0.013397
426.174497   7.232829   7.064225   7.429631 190.904767 188.769679 192.047742   0.012674
429.530201   7.234063   7.093156   7.412694 191.015857 189.193017 192.189039   0.011898
432.885906   7.233926   7.087672   7.369407 191.126492 189.443105 192.300176   0.011293
436.241611   7.232791   7.092542   7.356567 191.234549 189.879498 192.425810   0.010491
439.597315   7.232035   7.102253   7.365716 191.332942 190.107336 192.538568   0.010108
