#          z   avg(WSh)   min(WSh)   max(WSh)   avg(WDh)   min(WDh)   max(WDh)        TIh
  0.000000   4.144693   3.520650   5.448808 172.016417 163.362407 181.125869   0.091201
  3.355705   4.560292   3.984344   5.665213 172.145925 167.139147 178.251473   0.078255
  6.711409   5.156370   4.286887   6.249721 172.362009 166.703743 178.026859   0.080950
 10.067114   5.632613   4.535108   6.949491 172.616160 167.593305 177.984731   0.077036
 13.422819   6.028307   4.792906   7.330234 172.868336 167.504966 178.008660   0.078264
 16.778523   6.306164   4.981597   7.469985 173.155860 168.566845 178.106943   0.076760
 20.134228   6.518845   5.120621   7.695758 173.463095 168.543002 179.305820   0.073455
 23.489933   6.696532   5.221202   7.820868 173.713681 167.533027 179.416499   0.072958
 26.845638   6.831632   5.343526   7.785635 173.844325 167.389800 180.394690   0.071125
 30.201342   6.952281   5.664631   7.896969 173.904728 167.950951 181.155717   0.067124
 33.557047   7.065274   5.812646   7.997543 174.000337 167.767503 181.664302   0.065245
 36.912752   7.168416   5.977740   8.017720 174.208244 168.592765 181.918637   0.062400
 40.268456   7.256353   6.131276   8.099509 174.473276 168.996927 181.672021   0.059497
 43.624161   7.337783   6.221173   8.172138 174.722488 168.448756 181.174097   0.058987
 46.979866   7.411475   6.325321   8.257704 174.922402 168.055733 180.965330   0.058391
 50.335570   7.483544   6.348953   8.308606 175.061592 168.216573 180.596077   0.056660
 53.691275   7.553239   6.364513   8.435993 175.174932 168.140094 180.834013   0.056862
 57.046980   7.618606   6.372804   8.541666 175.264501 167.573894 181.162565   0.057570
 60.402685   7.685688   6.400899   8.632827 175.333177 167.569076 181.114912   0.056073
 63.758389   7.755405   6.461536   8.699868 175.427078 169.087850 181.254221   0.055119
 67.114094   7.828799   6.568970   8.838030 175.566468 169.208495 181.269333   0.053896
 70.469799   7.897252   6.673682   8.984080 175.758275 170.207129 181.108874   0.051854
 73.825503   7.962987   6.725530   9.024829 175.956739 170.217514 181.310153   0.051026
 77.181208   8.024937   6.754405   8.920642 176.157079 170.374912 182.534613   0.049972
 80.536913   8.085924   7.016922   8.909348 176.339293 170.479283 182.801806   0.047395
 83.892617   8.146269   7.251152   8.958422 176.533325 170.696552 182.868372   0.046045
 87.248322   8.205669   7.252147   9.019764 176.747334 170.924914 182.367517   0.045481
 90.604027   8.257698   7.272819   9.035696 176.974575 171.403513 181.344899   0.043872
 93.959732   8.308341   7.364610   9.077140 177.178831 171.819412 181.163754   0.043379
 97.315436   8.357732   7.498324   9.079736 177.353736 172.052963 182.569521   0.043565
100.671141   8.407437   7.538061   9.006153 177.489247 172.570163 183.214906   0.042468
104.026846   8.456661   7.561421   9.105753 177.623411 172.989230 183.519590   0.042183
107.382550   8.505155   7.519387   9.169496 177.758902 173.403559 183.457296   0.042538
110.738255   8.548885   7.700895   9.191360 177.933096 173.194354 183.798282   0.040953
114.093960   8.595365   7.837647   9.236936 178.113908 172.970110 183.854302   0.039954
117.449664   8.644987   7.899374   9.350819 178.299648 173.230580 183.606351   0.039793
120.805369   8.695766   8.011363   9.391838 178.493072 174.140984 183.393959   0.038373
124.161074   8.746610   8.046508   9.415633 178.688839 174.501919 183.225288   0.037875
127.516779   8.797472   8.070832   9.426471 178.886349 174.813856 183.193564   0.038644
130.872483   8.837190   8.070563   9.416719 179.095313 174.991495 183.752274   0.037959
134.228188   8.874480   8.085294   9.456965 179.294272 175.035805 183.838091   0.037784
137.583893   8.909507   8.098260   9.539607 179.483961 175.211024 183.337632   0.038126
140.939597   8.946511   8.137693   9.584104 179.653715 175.751943 183.322165   0.037506
144.295302   8.986999   8.239661   9.618331 179.831416 175.467593 183.602004   0.037021
147.651007   9.030457   8.278802   9.656589 180.014798 175.362524 184.277337   0.036943
151.006711   9.071203   8.442417   9.664945 180.196088 175.412156 184.623416   0.035660
154.362416   9.109140   8.455388   9.698193 180.363288 175.512125 184.826751   0.035059
157.718121   9.144733   8.489518   9.703179 180.518486 175.336721 185.047302   0.035135
161.073826   9.178284   8.561658   9.734974 180.664893 176.076469 184.915028   0.034089
164.429530   9.210113   8.642765   9.773102 180.821172 176.042596 185.174171   0.033563
167.785235   9.240181   8.624765   9.811779 180.987911 175.772434 185.733574   0.033885
171.140940   9.264039   8.650474   9.836171 181.190340 175.914671 185.662677   0.033247
174.496644   9.285641   8.706633   9.841514 181.417938 176.411912 185.461317   0.032660
177.852349   9.305972   8.729048   9.879125 181.663133 176.861725 185.222942   0.032499
181.208054   9.327513   8.720610   9.941497 181.911925 177.586548 185.252793   0.031569
184.563758   9.353298   8.756436   9.977684 182.143125 178.081086 185.208934   0.030816
